Plot,Shrub Cover (%),Shrub Ht (m),Herb Cover (%),Ground Cover (%),X_COORD,Y_COORD,Management Unit,Burn_YEAR,Thinning_Year,Notes,,,,,,Thinning_Year
K116,15,0.5,3,"LI-80, CW-2, TB-6, BA-8, RO-4",578481.375,1875054.5,East Woods.unburned,,,,,,,,,
K130,4,0.25,3,"LI-71, CW-6, TB-6, BA-15, RO-2",579879.9375,1875106.375,East woods.Puffer land,burned once in 1990,,,,,,,,
K137,25,1,10,CW-8 TB-4 LI-88,580579.1875,1875132.25,East Woods.central,,,,,,,,,
KK101,20,0.75,80,"LI-45, BA-40, TB-10, CW-5",576887.6875,1877598.5,Heritage woodland,every 1-2 years from 1996-2003,2007-08,By weather station,,,,,,
KK109,40,2,90,"LI-10, BA-80, CW-7, TB-3",577686.875,1877628,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
KK116,10,0.75,40,"LI-85, BA-5, CW-5, TB-5",0,0,woodland,,,Understory appears thinned,,,,,,
KK119,40,2.5,55,"CW-20, LI-70, BA-6, TB-4",0,0,woodland,,,,,,,,,
L111,3,0.25,5,"LI-93, CW-4, TB-3 ",577978.3125,1875136.125,East Woods.unburned,2004,,,,,,,,
L120,75,1.5,45,"LI-87, BA-3, CW-8, TB-2",578877.25,1875169.375,East Woods.unburned,,,,,,,,,
L121,60,1,7,"LI-90, CW-6, TB-4",578977.25,1875173.125,East Woods.unburned,,,,,,,,,
LL103,85,1.25,70,"LI-93, TB-5, BA-2",0,0,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
LL104,45,1.25,95,LI-90 BA-5 TB-3 CW-1 RO-1,577183.625,1877709.5,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
LL110,10,1,90,"LI-20, BA-70, TB-3, CW-7",0,0,Heritage woodland,every 1-2 years from 1996-2003,2007-08,,,,,,,
LL114,50,0.75,10,"LI-85, TB-8, CW-7",578182.5625,1877746.375,woodland,,,,,,,,,
LL119,15,0.5,40,"LI-80, BA-10, TB-7, CW-3",578682.0625,1877764.875,woodland,,,,,,,,,
M118,70,1,30,"LI-70, CW-7, BA-20, TB-3",578673.875,1875262,East Woods.unburned,,,,,,,,,
